status,stop_id,city,direction,name,cross,routes,owl_routes,street,position,x,y,latitude,longitude
In Service,2318,CHICAGO,NB,State & 46th Street,46TH STREET,29,,STATE,NS,358774.8231387128,571341.3962437978,41.8109,-87.626002
In Service,2320,CHICAGO,NB,State & 44th Street,44TH STREET,29,,STATE,NS,358765.0263608471,571744.1859138865,41.814527,-87.62608
In Service,2322,CHICAGO,NB,State & 42nd Street,42ND STREET,29,,STATE,NS,358752.5549091009,572148.953181644,41.818172,-87.62619
In Service,2325,CHICAGO,NB,State & 40th Street,40TH STREET (south leg),29,,STATE,NT,358741.0101110364,572542.1764774411,41.821713,-87.62629
In Service,2326,CHICAGO,NB,State & Pershing,PERSHING,29,,STATE,NS,358738.5267177002,572753.0884901993,41.823612,-87.626299
In Service,2327,CHICAGO,NB,State & 38th Street,38TH STREET,29,,STATE,NS,358735.14785515144,572951.6638120391,41.8254,-87.62632
In Service,2330,CHICAGO,NB,State & 35th Street,35TH STREET,29,,STATE,NS,358723.28798168025,573554.9291092517,41.830832,-87.626403
In Service,2331,CHICAGO,NB,State & 34th Street,3400 SOUTH,29,,STATE,MB,358719.9528685033,573778.4970769404,41.832845,-87.626421
In Service,2332,CHICAGO,NB,State & 33rd Street,33RD STREET,29,,STATE,NS,358723.31610194215,573975.4620635686,41.834618,-87.626361
In Service,2333,CHICAGO,NB,State & 32nd Street,3200 SOUTH,29,,STATE,MB,358715.8976087137,574160.2311152292,41.836282,-87.626432
In Service,2334,CHICAGO,NB,State & 31st Street,31ST STREET,29,,STATE,NS,358713.81490547897,574372.9241677497,41.838197,-87.626436
In Service,2335,CHICAGO,NB,State & 30th Street,30TH STREET,29,,STATE,NS,358703.86088462424,574512.575668191,41.839455,-87.626542
In Service,2336,CHICAGO,NB,State & 29th Street,29TH STREET,29,,STATE,NS,358700.5375464305,574765.023797784,41.841728,-87.626557
In Service,2337,CHICAGO,NB,State & 28th Street,28TH STREET,29,,STATE,NS,358692.9860295907,574925.6885079822,41.843175,-87.626632
In Service,2338,CHICAGO,NB,State & 27th Street,27TH STREET,29,,STATE,MT,358688.4778138131,575059.7200727003,41.844382,-87.626673
In Service,2342,CHICAGO,NB,State & 23rd Street,23RD STREET,29,,STATE,NS,358661.90975192277,575775.3863809594,41.850827,-87.626922
In Service,2345,CHICAGO,NB,State & Cullerton,CULLERTON,29,,STATE,NS,358649.6457296051,576276.9052230411,41.855343,-87.62702
In Service,2346,CHICAGO,NB,State & Archer,ARCHER,29,,STATE,NT,358648.3231843185,576397.3009082401,41.856427,-87.627024
In Service,2349,CHICAGO,NB,State & 16th Street,16TH STREET,"29,62,129",,STATE,NS,358634.1513833473,576797.725151104,41.860033,-87.627155
In Service,2350,CHICAGO,NB,State & 14th Place,14TH PLACE,"29,62,129",,STATE,NS,358630.7463789309,577050.1734960539,41.862306,-87.627171
In Service,2352,CHICAGO,NB,State & 13th Street,13TH STREET,"29,62,129",,STATE,NS,358620.4545369098,577423.1942006494,41.865665,-87.627258
In Service,2353,CHICAGO,NB,State & Roosevelt,ROOSEVELT,"29,62,129",,STATE,FS,358612.4027173955,577645.0585634484,41.867663,-87.627333
In Service,2354,CHICAGO,NB,State & 11th Street,11TH STREET,"29,62,129,130,146",N62,STATE,NS,358611.6163752407,577811.3334703817,41.86916,-87.627326
In Service,2355,CHICAGO,NB,State & 9th Street,9TH STREET,"29,62,129,130,146",N62,STATE,NS,358606.9923292684,577949.5855934578,41.870405,-87.627368
In Service,2357,CHICAGO,NB,State & Balbo,BALBO,"29,130,146",,STATE,NS,358600.5751490954,578235.221483401,41.872977,-87.627417
In Service,2359,CHICAGO,NB,State & Kinzie,KINZIE,29,,STATE,NS,358544.48914504086,580028.7591181493,41.889128,-87.627915
Temp out,2361,CHICAGO,NB,State & Grand (Red Line),GRAND,36,,STATE,NS,358539.42761391314,580301.1889316166,41.891581,-87.627949
In Service,2362,CHICAGO,NB,Western & 95th Street,95TH STREET,"48,49A",,WESTERN,FS,354200.83262734447,561372.9400809258,41.721479,-87.681953
In Service,2363,CHICAGO,EB,Lawrence & Marine Drive,MARINE DRIVE,81,N81,LAWRENCE,NS,356662.01678080834,588896.5854882901,41.9691,-87.649744
Temp out,2367,CHICAGO,SB,State & Grand (Red Line),GRAND,29,,STATE,FS,358521.45076071605,580297.1534784945,41.891546,-87.628166
In Service,2368,CHICAGO,SB,State & Hubbard,HUBBARD,"29,36",,STATE,NS,358527.62062924803,580142.2520247487,41.890151,-87.628107
In Service,2370,CHICAGO,SB,State & Marina City,MARINA CITY,"29,36,62",,STATE,MB,358523.8700559666,579942.1719072484,41.88835,-87.628172
In Service,2376,CHICAGO,SB,State & Roosevelt,ROOSEVELT,"29,62,129",,STATE,NS,358595.6125000809,577637.2562251728,41.867594,-87.627536
In Service,2377,CHICAGO,SB,State & 13th Street,13TH STREET,"29,62,129",,STATE,FT,358595.99002419016,577419.6607354421,41.865635,-87.627553
In Service,2378,CHICAGO,SB,State & 14th Street,14TH STREET,"29,62,129",,STATE,NS,358602.05289734557,577257.8723699253,41.864178,-87.627496
In Service,2379,CHICAGO,SB,State & 15th Street,15TH STREET,"29,62,129",,STATE,NS,358608.44950491434,577025.220121728,41.862083,-87.627442
In Service,2382,CHICAGO,SB,State & 18th Street,18TH STREET,"29,62",,STATE,FS,358621.4024230113,576520.3740663142,41.857537,-87.627336
In Service,2386,CHICAGO,SB,State & Cermak,CERMAK,29,,STATE,FS,358638.53782797884,575961.4687398361,41.852504,-87.627185
In Service,2387,CHICAGO,SB,State & 23rd Street,23RD STREET,29,,STATE,NT,358642.09263410873,575781.6657970777,41.850885,-87.62716
